132.145.91.181:8443#KR [my优选高速94ms]*160
43.133.237.158:8443#KR [my优选高速78ms]
54.180.151.15:443#KR [my优选高速78ms]
43.164.191.65:8443#KR [my优选高速93ms]
193.123.232.91:443#KR [my优选高速94ms]
152.67.210.234:443#KR [my优选高速94ms]
129.154.222.63:8443#KR [my优选高速94ms]

43.159.4.217:443#SG [my优选高速31ms]*280
43.159.5.182:443#SG [my优选高速47ms]*260
43.159.11.95:443#SG [my优选高速31ms]*250
167.71.198.82:8443#SG [my优选高速78ms]*180
104.248.159.171:443#SG [my优选高速78ms]*180
139.59.115.7:443#SG [my优选高速62ms]*140

151.242.125.226:443#HK [my优选高速47ms]*260
23.175.201.2:8443#HK [my优选高速31ms]*210
43.168.16.112:443#HK [my优选高速32ms]
206.237.9.241:443#HK [my优选高速47ms]
219.76.13.181:443#HK [my优选高速47ms]
151.245.90.96:8443#HK [my优选高速47ms]

124.156.208.160:443#JP [my优选高速78ms]
35.72.81.216:443#JP [my优选高速78ms]
13.231.33.243:443#JP [my优选高速78ms]
45.143.233.162:8443#JP [my优选高速78ms]
45.192.242.10:443#JP [my优选高速78ms]
156.231.113.141:8443#JP [my优选高速93ms]
108.160.132.132:443#JP [my优选高速93ms]
172.104.86.229:443#JP [my优选高速93ms]
45.77.21.104:443#JP [my优选高速93ms]
172.104.81.253:443#JP [my优选高速93ms]
185.200.64.56:443#JP [my优选高速93ms]
158.101.132.216:8443#JP [my优选高速93ms]
172.238.22.36:8443#JP [my优选高速93ms]
18.176.37.44:443#JP [my优选高速93ms]
108.160.132.178:443#JP [my优选高速93ms]

60.249.21.30:443#TW [my优选高速62ms]*220
60.249.21.29:443#TW [my优选高速62ms]*140
103.177.33.224:1599#TW [my优选高速63ms]*120
23.188.72.153:443#TW [my优选高速78ms]*110

47.93.235.180:443#US [my优选高速47ms]*220
47.93.236.249:443#US [my优选高速63ms]*190
154.26.187.44:8443#US [my优选高速172ms]*180
154.17.3.148:443#US [my优选高速172ms]*140
154.29.153.213:443#US [my优选高速187ms]*120
154.64.235.153:443#US [my优选高速156ms]
154.64.235.208:443#US [my优选高速156ms]
38.47.112.56:443#US [my优选高速156ms]

104.17.30.2:443#CA [my优选高速47ms]*
104.17.59.98:8443#CA [my优选高速47ms]*

171.103.14.207:10071#TH [my优选高速109ms]*
43.229.148.43:443#TH [my优选高速93ms]
43.133.110.81:443#TH [my优选高速94ms]
45.136.254.175:443#TH [my优选高速94ms]
45.154.24.170:443#TH [my优选高速94ms]

125.7.24.251:443#AU [my优选高速171ms]
161.33.76.218:8443#AU [my优选高速172ms]
209.38.82.114:443#AU [my优选高速172ms]
170.64.232.210:443#AU [my优选高速188ms]
170.64.229.30:443#AU [my优选高速203ms]
206.245.167.71:443#AU [my优选高速1250ms]

149.248.199.173:443#DE [my优选高速140ms]
178.22.26.98:443#DE [my优选高速172ms]
31.25.88.191:443#DE [my优选高速156ms]
188.95.70.31:8443#DE [my优选高速156ms]
