138.124.107.101:8443#TR [250ms]
45.141.148.141:443#TR [265ms]
212.192.6.118:443#TR [265ms]
45.89.52.247:443#TR [266ms]
45.12.143.73:443#TR [266ms]
138.124.107.132:443#TR [281ms]
185.235.243.172:443#TR [281ms]
188.132.183.17:443#TR [281ms]
138.124.107.124:443#TR [281ms]
103.83.87.133:443#TR [281ms]
84.51.54.101:8443#TR [281ms]
130.94.1.150:443#TR [282ms]
45.89.52.124:443#TR [296ms]
83.217.9.70:443#TR [297ms]
185.219.132.27:443#TR [297ms]
188.132.183.40:443#TR [297ms]
188.132.129.102:2053#TR [297ms]
195.16.74.73:443#TR [297ms]
138.124.107.35:443#TR [297ms]
188.132.232.192:2053#TR [312ms]
185.219.133.106:443#TR [312ms]
107.161.174.99:443#TR [312ms]
193.124.45.108:2053#TR [312ms]
194.116.236.86:443#TR [312ms]
82.22.99.186:443#TR [312ms]
103.83.86.172:443#TR [312ms]
194.135.34.198:443#TR [312ms]
194.135.34.121:443#TR [312ms]
93.115.10.237:2053#TR [313ms]
198.105.123.25:443#TR [313ms]
93.115.10.218:8443#TR [313ms]
93.115.10.237:8443#TR [313ms]
